2.54,2.88,1.93
2.36,3.39,2.41
2.34,2.78,1.86
2.56,3.73,2.55
2.31,3.00,2.09
2.71,3.22,2.14
2.34,3.27,2.33
2.31,2.76,1.87
2.54,3.54,2.41
2.29,3.04,2.12
2.48,2.87,1.92
2.53,3.65,2.51
2.29,3.06,2.14
2.46,2.85,1.92
2.42,3.46,2.45
2.33,2.95,2.04
2.69,3.17,2.13
2.35,3.40,2.47
2.50,2.91,1.97
2.33,3.20,2.20
2.62,3.51,2.35
2.38,2.97,1.99
2.46,3.47,2.38
2.82,3.52,2.34
2.36,3.12,2.11
2.28,2.80,1.84
2.45,2.90,1.90
2.79,3.23,2.08
2.72,3.80,2.48
2.45,3.60,2.57
2.34,3.12,2.11
2.51,2.87,1.91
2.47,3.63,2.48
2.28,3.11,2.19
2.71,3.17,2.09
2.35,3.24,2.20
2.65,3.70,2.47
2.48,3.03,2.01
2.46,3.42,2.34
2.71,3.53,2.36
2.43,2.94,2.00
2.68,3.46,2.28
2.41,3.44,2.49
2.27,3.02,2.13
2.62,3.43,2.34
2.41,2.91,1.97
2.39,3.20,2.20
2.39,3.25,2.23
2.55,3.46,2.39
2.54,2.96,1.99
2.35,3.00,2.05
2.37,3.20,2.20
2.55,3.46,2.37
2.60,3.05,2.04
2.52,3.03,2.06
2.37,2.93,2.00
2.43,3.25,2.19
2.43,3.23,2.18
2.55,3.47,2.38
2.42,2.87,1.94
2.38,3.38,2.43
2.32,2.79,1.88
2.65,3.59,2.41
2.29,3.23,2.27
2.49,3.38,2.36
2.60,3.25,2.21
2.57,2.96,2.05
2.48,2.93,2.02
2.53,2.99,1.99
2.62,3.12,2.08
2.50,2.93,2.01
2.42,2.95,2.01
2.36,2.89,2.02
2.39,2.94,2.06
2.51,3.21,2.15
2.36,3.16,2.16
2.56,3.45,2.33
2.51,3.38,2.32
2.70,3.58,2.41
2.67,3.20,2.13
2.46,2.87,1.95
2.56,3.07,2.05
2.36,2.96,2.05
2.38,3.11,2.13
2.54,3.45,2.41
2.78,3.34,2.28
2.41,2.96,1.98
2.35,3.14,2.16
2.55,3.60,2.49
2.39,2.98,2.00
2.57,3.68,2.55
2.27,3.03,2.11
2.78,3.45,2.32
2.44,3.03,2.07
2.44,3.27,2.24
2.38,3.25,2.23
2.40,3.13,2.19
2.51,3.27,2.30
2.38,3.15,2.11
2.35,3.15,2.16
2.38,3.06,2.14
2.39,3.12,2.18
2.41,3.19,2.23
2.41,3.37,2.36
2.72,3.24,2.18
2.36,2.98,2.03
2.32,3.10,2.18
2.37,3.25,2.29
2.53,3.49,2.42
2.62,3.17,2.18
2.41,2.89,1.99
2.35,2.96,2.01
2.36,3.13,2.12
2.40,3.31,2.29
2.45,3.45,2.43
2.63,3.29,2.21
2.47,2.93,1.94
2.38,2.99,2.04
2.34,3.14,2.15
2.36,3.36,2.32
2.59,3.63,2.54
2.67,3.39,2.30
2.61,3.05,2.07
2.33,2.92,2.00
2.35,3.09,2.13
2.33,3.24,2.26
2.43,3.43,2.42
2.59,3.43,2.35
2.53,2.97,2.02
2.37,2.89,1.96
2.34,3.07,2.05
2.37,3.26,2.24
2.46,3.46,2.42
2.73,3.61,2.46
2.52,2.95,2.02
2.37,2.92,1.96
2.35,3.13,2.14
2.37,3.34,2.33
2.46,3.49,2.44
2.66,3.15,2.12
2.52,3.04,2.05
2.31,3.01,2.07
